k,n,n_wave
3,1902,759
3,1903,759
3,1904,554
3,1905,419
3,1906,471
3,1907,759
3,1908,759
3,1909,471
3,1910,578
3,1911,578
3,1912,759
3,1913,578
3,1914,578
3,1915,759
3,1916,578
3,1917,759
3,1918,759
3,1919,578
3,1920,759
3,1921,759
3,1922,578
3,1923,759
3,1924,759
3,1925,578
3,1926,759
3,1927,759
3,1928,578
3,1929,759
3,1930,554
3,1931,554
3,1932,759
3,1933,578
3,1934,759
3,1935,759
3,1936,759
3,1937,759
3,1938,759
3,1939,554
3,1940,578
3,1941,554
3,1942,578
3,1943,759
3,1944,578
3,1945,554
3,1946,759
3,1947,759
3,1948,578
3,1949,554
3,1950,578
3,1951,554
3,1952,554
3,1953,578
3,1954,578
3,1955,471
3,1956,759
3,1957,759
3,1958,759
3,1959,759
3,1960,578
3,1961,759
3,1962,759
3,1963,471
3,1964,759
3,1965,578
3,1966,759
3,1967,759
3,1968,471
3,1969,759
3,1970,759
3,1971,578
3,1972,1177
3,1973,471
3,1974,1177
3,1975,1177
3,1976,1177
3,1977,759
3,1978,1177
3,1979,1177
3,1980,1177
3,1981,759
3,1982,1177
3,1983,578
3,1984,578
3,1985,1177
3,1986,1177
3,1987,759
3,1988,1177
3,1989,759
3,1990,578
3,1991,578
3,1992,578
3,1993,1177
3,1994,578
3,1995,1177
3,1996,937
3,1997,759
3,1998,759
3,1999,1177
3,2000,1177
3,2001,937
3,2002,1177
3,2003,937
3,2004,1177
3,2005,1177
3,2006,554
3,2007,1177
3,2008,1177
3,2009,1177
3,2010,1177
3,2011,1177
3,2012,1177
3,2013,578
3,2014,1177
3,2015,937
3,2016,759
3,2017,759
3,2018,1177
3,2019,937
3,2020,1177
3,2021,937
3,2022,937
3,2023,1177
3,2024,578
3,2025,1177
3,2026,759
3,2027,1177
3,2028,937
3,2029,1177
3,2030,1177
3,2031,937
3,2032,937
3,2033,937
3,2034,759
3,2035,1177
3,2036,1177
3,2037,1177
3,2038,937
3,2039,937
3,2040,1177
3,2041,578
3,2042,937
3,2043,1177
3,2044,937
3,2045,937
3,2046,578
3,2047,1177
3,2048,1177
3,2049,1177
3,2050,937
3,2051,1177
3,2052,1177
3,2053,759
3,2054,1177
3,2055,1177
3,2056,1177
3,2057,1177
3,2058,1177
3,2059,1177
3,2060,937
3,2061,1177
3,2062,937
3,2063,1177
3,2064,1177
3,2065,1177
3,2066,1177
3,2067,1177
3,2068,1177
3,2069,759
3,2070,937
3,2071,1177
3,2072,937
3,2073,1177
3,2074,1177
3,2075,937
3,2076,554
3,2077,1177
3,2078,419
3,2079,1177
3,2080,1177
3,2081,759
3,2082,1177
3,2083,1177
3,2084,1161
3,2085,937
3,2086,937
3,2087,1177
3,2088,554
3,2089,1177
3,2090,1177
3,2091,1177
3,2092,937
3,2093,1161
3,2094,1177
3,2095,1177
3,2096,937
3,2097,1177
3,2098,1177
3,2099,1177
3,2100,1177
3,2101,1161
