k,n,n_wave
10,1462,1504
10,1463,1504
10,1464,1504
10,1465,1504
10,1466,1504
10,1467,1504
10,1468,1504
10,1469,1504
10,1470,1504
10,1471,1504
10,1472,1504
10,1473,1504
10,1474,1504
10,1475,1504
10,1476,1504
10,1477,1504
10,1478,1504
10,1479,1504
10,1480,1504
10,1481,1504
10,1482,1504
10,1483,1504
10,1484,1504
10,1485,1504
10,1486,1504
10,1487,1504
10,1488,1504
10,1489,1504
10,1490,1504
10,1491,1504
10,1492,1504
10,1493,1504
10,1494,1504
10,1495,1504
10,1496,1504
10,1497,1504
10,1498,1504
10,1499,1504
10,1500,1504
10,1501,1504
10,1502,1504
10,1503,1504
10,1504,1504
10,1505,1504
10,1506,1504
10,1507,1504
10,1508,1504
10,1509,1504
10,1510,1504
10,1511,1504
10,1512,1504
10,1513,1504
10,1514,1504
10,1515,1504
10,1516,1504
10,1517,1504
10,1518,1504
10,1519,1504
10,1520,1504
10,1521,1504
10,1522,1504
10,1523,1504
10,1524,1504
10,1525,1504
10,1526,1504
10,1527,1504
10,1528,1504
10,1529,1504
10,1530,1504
10,1531,1504
10,1532,1504
10,1533,1504
10,1534,1504
10,1535,1504
10,1536,1504
10,1537,1504
10,1538,1504
10,1539,1504
10,1540,1504
10,1541,1504
10,1542,1504
10,1543,1504
10,1544,1504
10,1545,1504
10,1546,1504
10,1547,1504
10,1548,1504
10,1549,1504
10,1550,1504
10,1551,1504
10,1552,1504
10,1553,1504
10,1554,1504
10,1555,1504
10,1556,1504
10,1557,1504
10,1558,1504
10,1559,1504
10,1560,1504
10,1561,1504
10,1562,1504
10,1563,1504
10,1564,1504
10,1565,1504
10,1566,1504
10,1567,1504
10,1568,1504
10,1569,1504
10,1570,1504
10,1571,1504
10,1572,1504
10,1573,1504
10,1574,1504
10,1575,1504
10,1576,1504
10,1577,1504
10,1578,1504
10,1579,1504
10,1580,1504
10,1581,1504
10,1582,1504
10,1583,1504
10,1584,1504
10,1585,1504
10,1586,1504
10,1587,1504
10,1588,1504
10,1589,1504
10,1590,1504
10,1591,1504
10,1592,1504
10,1593,1504
10,1594,1504
10,1595,1504
10,1596,1504
10,1597,1504
10,1598,1504
10,1599,1504
10,1600,1504
10,1601,1504
10,1602,1504
10,1603,1504
10,1604,1504
10,1605,1504
10,1606,1504
10,1607,1504
10,1608,1504
10,1609,1504
10,1610,1504
10,1611,1504
10,1612,1504
10,1613,1504
10,1614,1504
10,1615,1504
10,1616,1504
10,1617,1504
10,1618,1504
10,1619,1504
10,1620,1504
10,1621,1504
10,1622,1504
10,1623,1504
10,1624,1504
10,1625,1504
10,1626,1504
10,1627,1504
10,1628,1504
10,1629,1504
10,1630,1504
10,1631,1504
10,1632,1504
10,1633,1504
10,1634,1504
10,1635,1504
10,1636,1504
10,1637,1504
10,1638,1504
10,1639,1504
10,1640,1504
10,1641,1504
10,1642,1504
10,1643,1504
10,1644,1504
10,1645,1504
10,1646,1504
10,1647,1504
10,1648,1504
10,1649,1504
10,1650,1504
10,1651,1504
10,1652,1504
10,1653,1504
10,1654,1504
10,1655,1504
10,1656,1504
10,1657,1504
10,1658,1504
10,1659,1504
10,1660,1504
10,1661,1504
10,1662,1504
10,1663,1504
10,1664,1504
10,1665,1504
10,1666,1504
10,1667,1504
10,1668,1504
10,1669,1504
10,1670,1504
10,1671,1504
10,1672,1504
10,1673,1504
10,1674,1504
10,1675,1504
10,1676,1504
10,1677,1504
10,1678,1504
10,1679,1504
10,1680,1504
10,1681,1504
10,1682,1504
10,1683,1504
10,1684,1504
10,1685,1504
10,1686,1504
10,1687,1504
10,1688,1504
10,1689,1504
10,1690,1504
10,1691,1504
10,1692,1504
10,1693,1504
10,1694,1504
10,1695,1504
10,1696,1504
10,1697,1504
10,1698,1504
10,1699,1504
10,1700,1504
10,1701,1504
10,1702,1504
10,1703,1504
10,1704,1504
10,1705,1504
10,1706,1504
10,1707,1504
10,1708,1504
10,1709,1504
10,1710,1504
10,1711,1504
10,1712,1504
10,1713,1504
10,1714,1504
10,1715,1504
10,1716,1504
10,1717,1504
10,1718,1504
10,1719,1504
10,1720,1504
10,1721,1504
10,1722,1504
10,1723,1504
10,1724,1504
10,1725,1504
10,1726,1504
10,1727,1504
10,1728,1504
10,1729,1504
10,1730,1504
10,1731,1504
10,1732,1504
10,1733,1504
10,1734,1504
10,1735,1504
10,1736,1504
10,1737,1504
10,1738,1504
10,1739,1504
10,1740,1504
10,1741,1504
10,1742,1504
10,1743,1504
10,1744,1504
10,1745,1504
10,1746,1504
10,1747,1504
10,1748,1504
10,1749,1504
10,1750,1504
10,1751,1504
10,1752,1504
10,1753,1504
10,1754,1504
10,1755,1504
10,1756,1504
10,1757,1504
10,1758,1504
10,1759,1504
10,1760,1504
10,1761,1504
10,1762,1504
10,1763,1504
10,1764,1504
10,1765,1504
